L2 INCLUSIVE of L3
Belady at L3
Instruction Completed: 0
Instruction Completed: 100000
Instruction Completed: 200000
Instruction Completed: 300000
Instruction Completed: 400000
Instruction Completed: 500000
Instruction Completed: 600000
Instruction Completed: 700000
Instruction Completed: 800000
Instruction Completed: 900000
Instruction Completed: 1000000
Instruction Completed: 1100000
Instruction Completed: 1200000
Instruction Completed: 1300000
Instruction Completed: 1400000
Instruction Completed: 1500000
Instruction Completed: 1600000
Instruction Completed: 1700000
Instruction Completed: 1800000
Instruction Completed: 1900000
Instruction Completed: 2000000
Instruction Completed: 2100000
Instruction Completed: 2200000
Instruction Completed: 2300000
Instruction Completed: 2400000
Instruction Completed: 2500000
Instruction Completed: 2600000
Instruction Completed: 2700000
Instruction Completed: 2800000
Instruction Completed: 2900000
Instruction Completed: 3000000
Instruction Completed: 3100000
Instruction Completed: 3200000
Instruction Completed: 3300000
Instruction Completed: 3400000
Instruction Completed: 3500000
Instruction Completed: 3600000
Instruction Completed: 3700000
Instruction Completed: 3800000
Instruction Completed: 3900000
Instruction Completed: 4000000
Instruction Completed: 4100000
Instruction Completed: 4200000
Instruction Completed: 4300000
Instruction Completed: 4400000
Instruction Completed: 4500000
Instruction Completed: 4600000
Instruction Completed: 4700000
Instruction Completed: 4800000
Instruction Completed: 4900000
Instruction Completed: 5000000
Instruction Completed: 5100000
Instruction Completed: 5200000
Instruction Completed: 5300000
Instruction Completed: 5400000
Instruction Completed: 5500000
Instruction Completed: 5600000
Instruction Completed: 5700000
Instruction Completed: 5800000
Instruction Completed: 5900000
Instruction Completed: 6000000
Instruction Completed: 6100000
Instruction Completed: 6200000
Instruction Completed: 6300000
Instruction Completed: 6400000
Instruction Completed: 6500000
Instruction Completed: 6600000
Instruction Completed: 6700000
Instruction Completed: 6800000
Instruction Completed: 6900000
Instruction Completed: 7000000
Instruction Completed: 7100000
Instruction Completed: 7200000
Instruction Completed: 7300000
Instruction Completed: 7400000
Instruction Completed: 7500000
Instruction Completed: 7600000
Instruction Completed: 7700000
Instruction Completed: 7800000
Instruction Completed: 7900000
Instruction Completed: 8000000
Instruction Completed: 8100000
Instruction Completed: 8200000
Instruction Completed: 8300000
Instruction Completed: 8400000
Instruction Completed: 8500000
Instruction Completed: 8600000
Instruction Completed: 8700000
Instruction Completed: 8800000
Instruction Completed: 8900000
Instruction Completed: 9000000
Instruction Completed: 9100000
Instruction Completed: 9200000
Instruction Completed: 9300000
Instruction Completed: 9400000
Instruction Completed: 9500000
Instruction Completed: 9600000
Instruction Completed: 9700000
Instruction Completed: 9800000
Instruction Completed: 9900000
Instruction Completed: 10000000
Instruction Completed: 10100000
Instruction Completed: 10200000
Instruction Completed: 10300000
Instruction Completed: 10400000
Instruction Completed: 10500000
Instruction Completed: 10600000
Instruction Completed: 10700000
Instruction Completed: 10800000
Instruction Completed: 10900000
Total L2 accesses: 10924045
Total unique accesses / Cold misses: 122070 percent: 1.11744
L2 hits: 2094657
L2 miss: 8658788
L3 hits: 5419717
L3 miss: 3239071
L3 back-invalidation requests: 3206303
